rank,character_tag,copyrights,post_count,recent_post_count,first_seen_at,character_age_days,recent_ratio,growth_score,birth_confidence,lifecycle_notes
67,ouro_kronii,hololive|hololive_english|hololive_indonesia|chainsaw_man|fate_(series),6573,1852,2024-05-05T13:10:34.119000+00:00,726,0.281759,0.247687,0.0,
68,yakumo_yukari,touhou|imperishable_night|touhou_lostword|koishi_komeiji's_heart-throbbing_adventure|perfect_cherry_blossom,4675,1529,2024-05-05T03:11:33.752000+00:00,727,0.327059,0.247286,0.0,
69,fujiwara_no_mokou,touhou|touhou_hero_of_ice_fairy|imperishable_night|original|help_me_erinnnnnn!!,3409,1241,2024-05-05T02:44:06.801000+00:00,727,0.364036,0.246108,0.0,
70,reisen_udongein_inaba,touhou|touhou_lostword|imperishable_night|legacy_of_lunatic_kingdom|help_me_erinnnnnn!!,3534,1261,2024-05-04T18:52:59.703000+00:00,727,0.356819,0.244795,0.0,
71,artoria_pendragon_(fate),fate_(series)|fate/grand_order|fate/stay_night|honkai_(series)|honkai:_star_rail,8000,2000,2024-05-04T17:35:55.310000+00:00,727,0.25,0.244237,0.0,
72,kaenbyou_rin,touhou|subterranean_animism|touhou_lostword|foul_detective_satori|original,3220,1180,2024-05-04T18:52:45.861000+00:00,727,0.36646,0.244235,0.0,
73,konpaku_youmu_(ghost),touhou|touhou_lostword|perfect_cherry_blossom|imperishable_night|utau,3075,1140,2024-05-05T03:08:20.489000+00:00,727,0.370732,0.243813,0.0,
74,cirno,touhou|touhou_hero_of_ice_fairy|embodiment_of_scarlet_devil|mcdonald's|hidden_star_in_four_seasons,4990,1550,2024-05-04T20:18:20.917000+00:00,727,0.310621,0.24325,0.0,
75,belle_(zenless_zone_zero),zenless_zone_zero|mihoyo|honkai_(series)|honkai:_star_rail|genshin_impact,7021,1846,2024-05-11T02:44:41.880000+00:00,721,0.262926,0.242923,0.0,
76,pikachu,pokemon|pokemon_(anime)|pokemon_pokopia|pokemon_red/green/blue/yellow|pokemon_firered_and_leafgreen,5210,1585,2024-05-05T03:01:29.698000+00:00,727,0.304223,0.242821,0.0,
77,kochiya_sanae,touhou|touhou_lostword|mountain_of_faith|bemani|dance_dance_revolution,4898,1519,2024-05-04T17:33:49.698000+00:00,727,0.310127,0.24178,0.0,
78,nekomata_okayu,hololive|hololive_english|hololive_dev_is|nijisanji|hololive_indonesia,4308,1404,2024-05-05T03:15:10.467000+00:00,727,0.325905,0.241614,0.0,
79,noa_(blue_archive),blue_archive|comiket_107|wuthering_waves|goddess_of_victory:_nikke|comiket_106,4294,1388,2024-05-04T18:20:17.266000+00:00,727,0.323242,0.240133,0.0,
80,wei_wuxian,modao_zushi|chainsaw_man|pokemon|renzha_fanpai_zijiu_xitong|rabbit_hole_(vocaloid),4544,1384,2024-05-29T12:23:51.961000+00:00,702,0.304577,0.240071,0.0,
81,basil_(faraway)_(omori),omori|emori_(shrimperini)|neon_genesis_evangelion|soul_eater|loveit?_(biz),4026,1322,2024-05-06T08:47:17.141000+00:00,726,0.328366,0.239086,0.0,
82,mika_(blue_archive),blue_archive|blue_archive_the_animation|jujutsu_kaisen|comiket_107|pokemon,8215,1922,2024-05-04T17:37:46.995000+00:00,727,0.233962,0.236103,0.0,
83,omori_(omori),omori|yume_nikki|utdr_(toby_fox)|undertale|deltarune,3477,1177,2024-05-05T03:11:12.872000+00:00,727,0.33851,0.235723,0.0,
84,nami_(one_piece),one_piece|one_piece_(live_action)|one_piece_film:_gold|one_piece_film:_red|one_piece_fan_letter,4714,1425,2024-05-04T20:00:14.642000+00:00,727,0.302291,0.235424,0.0,
85,asuna_(blue_archive),blue_archive|wuthering_waves|goddess_of_victory:_nikke|comiket_107|vocaloid,7122,1779,2024-05-04T16:42:05.232000+00:00,727,0.249789,0.234758,0.0,
86,aubrey_(omori),omori|emori_(shrimperini)|original|pokemon|mario_(series),3921,1237,2024-05-05T03:11:12.872000+00:00,727,0.315481,0.231371,0.0,
87,makima_(chainsaw_man),chainsaw_man|jujutsu_kaisen|neon_genesis_evangelion|invincible_(series)|original,3635,1169,2024-05-04T16:55:58.757000+00:00,727,0.321596,0.230308,0.0,
88,evelyn_chevalier,zenless_zone_zero|goddess_of_victory:_nikke|honkai_(series)|genshin_impact|mihoyo,3696,770,2024-12-12T23:35:28.374000+00:00,505,0.208333,0.230013,0.0,
89,tifa_lockhart,final_fantasy|final_fantasy_vii|final_fantasy_vii_remake|final_fantasy_vii:_ever_crisis|final_fantasy_vii_rebirth,5001,1419,2024-05-05T01:00:41.780000+00:00,727,0.283743,0.229604,0.0,
90,yuuka_(blue_archive),blue_archive|comiket_107|blue_archive_the_animation|jujutsu_kaisen|stella_sora,7882,1802,2024-05-04T16:28:45.675000+00:00,727,0.228622,0.229387,0.0,
91,lumine_(genshin_impact),genshin_impact|mihoyo|honkai_(series)|honkai:_star_rail|zenless_zone_zero,7742,1785,2024-05-04T18:03:53.045000+00:00,727,0.230561,0.229245,0.0,
92,ninomae_ina'nis,hololive|hololive_english|tako_takover_(ninomae_ina'nis)|sousou_no_frieren|hololive_indonesia,3982,1230,2024-05-05T07:46:10.035000+00:00,727,0.30889,0.229095,0.0,
93,saigyouji_yuyuko,touhou|touhou_lostword|perfect_cherry_blossom|foul_detective_satori|imperishable_night,3293,1077,2024-05-05T02:54:18.328000+00:00,727,0.327057,0.228026,0.0,
94,inubashiri_momiji,touhou|original|touhou_lostword|touhou_(pc-98)|cookie_(touhou),3218,1052,2024-05-06T03:52:18.937000+00:00,726,0.326911,0.227145,0.0,
95,castorice_(honkai:_star_rail),honkai:_star_rail|honkai_(series)|genshin_impact|zenless_zone_zero|mihoyo,3964,822,2024-11-13T21:53:36.848000+00:00,534,0.207366,0.225317,0.0,
96,kayoko_(blue_archive),blue_archive|comiket_105|comiket_107|blue_archive_the_animation|comiket_106,5882,1508,2024-05-05T04:29:07.743000+00:00,727,0.256375,0.225186,0.0,
97,hoshino_(blue_archive),blue_archive|jujutsu_kaisen|pokemon|original|comiket_107,7417,1690,2024-05-04T16:33:25.005000+00:00,727,0.227855,0.224385,0.0,
98,koseki_bijou,hololive|hololive_english|hololive_indonesia|hololive_dev_is|monster_hunter_(series),3052,989,2024-05-05T05:16:43.432000+00:00,727,0.32405,0.223374,0.0,
99,caelus_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|mihoyo|genshin_impact|zenless_zone_zero,5766,1470,2024-05-04T18:01:25.594000+00:00,727,0.254943,0.223137,0.0,
