rank,character_tag,copyrights,post_count,recent_post_count,popularity_score,copyright_confidence,needs_review,notes
90,yakumo_yukari,touhou|imperishable_night|touhou_lostword|koishi_komeiji's_heart-throbbing_adventure|perfect_cherry_blossom,4675,1513,0.603073,1.0,False,
91,yahata_umiri,bang_dream!|bang_dream!_it's_mygo!!!!!|arknights|girls_band_cry|bang_dream!_girls_band_party!,5640,1055,0.602365,1.0,False,
92,maribel_hearn,"touhou|taboo_japan_disentanglement|dateless_bar_""old_adam""|ghostly_field_club|magical_astronomy",3463,2154,0.601584,1.0,False,
93,kirby,kirby_(series)|real_life|kirby_and_the_forgotten_land|pokemon|kirby_air_ride,4220,1684,0.601197,1.0,False,
94,aerith_gainsborough,final_fantasy|final_fantasy_vii|final_fantasy_vii_remake|final_fantasy_vii_rebirth|final_fantasy_vii:_ever_crisis,5072,1236,0.600527,1.0,False,
95,nami_(one_piece),one_piece|one_piece_(live_action)|one_piece_film:_gold|one_piece_film:_red|one_piece_fan_letter,4714,1390,0.600096,1.0,False,
96,kagamine_rin,vocaloid|project_sekai|utau|piapro_studio|roshin_yuukai_(vocaloid),4832,1305,0.599295,1.0,False,
97,nanami_chiaki,danganronpa_(series)|danganronpa_2:_goodbye_despair|danganronpa:_trigger_happy_havoc|danganronpa_3_(anime)|danganronpa_v3:_killing_harmony,5336,1063,0.598925,1.0,False,
98,jane_doe_(zenless_zone_zero),zenless_zone_zero|indie_virtual_youtuber|hololive|hololive_english|chainsaw_man,5154,1063,0.596627,1.0,False,
99,fujishima_megumi,link!_like!_love_live!|love_live!|love_live!_hasu_no_sora_jogakuin_school_idol_club_bloom_garden_party|real_life|minecraft,5893,751,0.596553,1.0,False,
100,nerissa_ravencroft,hololive|hololive_english|oyomeholic_(nerissa_ravencroft)|rabbit_hole_(vocaloid)|hololive_indonesia,4890,1179,0.596472,1.0,False,
101,gold_ship_(umamusume),umamusume|real_life|original|jojo_no_kimyou_na_bouken|pokemon,4190,1528,0.59625,1.0,False,
102,aether_(genshin_impact),genshin_impact|mihoyo|honkai_(series)|honkai:_star_rail|zenless_zone_zero,4850,1172,0.595727,1.0,False,
103,don_quixote_(project_moon),project_moon|limbus_company|lobotomy_corporation|library_of_ruina|mili_(band),4260,1465,0.595541,1.0,False,
104,murano_sayaka,link!_like!_love_live!|love_live!|hasunosora_fantasy|love_live!_hasu_no_sora_jogakuin_school_idol_club_bloom_garden_party|real_life,5247,961,0.594886,1.0,False,
105,alice_margatroid,touhou|touhou_(pc-98)|cookie_(touhou)|imperishable_night|mystic_square,4256,1440,0.594762,1.0,False,
106,kei_(new_body)_(blue_archive),blue_archive|jujutsu_kaisen|original|precure|meitantei_precure!,2604,2573,0.594725,1.0,False,
107,doctor_(arknights),arknights|arknights:_endfield|bang_dream!|bang_dream!_it's_mygo!!!!!|stargate_(series),4937,1093,0.594639,1.0,False,
108,shiori_novella,hololive|hololive_english|hololive_indonesia|holostars|holostars_english,5055,1035,0.59454,1.0,False,
109,yoo_joonghyuk,omniscient_reader's_viewpoint|no_i'm_not_a_human|original|honkai:_star_rail|honkai_(series),3446,1908,0.594204,1.0,False,
110,nekomata_okayu,hololive|hololive_english|hololive_dev_is|nijisanji|hololive_indonesia,4308,1387,0.594046,1.0,False,
111,wei_wuxian,modao_zushi|pokemon|renzha_fanpai_zijiu_xitong|rabbit_hole_(vocaloid)|tianguan_cifu,4544,1238,0.593305,1.0,False,
112,noa_(blue_archive),blue_archive|comiket_107|wuthering_waves|goddess_of_victory:_nikke|comiket_106,4294,1362,0.593113,1.0,False,
113,sunna_(zenless_zone_zero),zenless_zone_zero|sanrio|fuwa_fuwa_cinnamoroll|my_melody_(series)|hello_kitty,2594,2442,0.590713,1.0,False,
114,osawa_rurino,link!_like!_love_live!|love_live!|love_live!_hasu_no_sora_jogakuin_school_idol_club_bloom_garden_party|real_life|zweigen_kanazawa,4926,938,0.590046,1.0,False,
115,houshou_marine,hololive|hololive_english|hololive_dev_is|hololive_indonesia|how_about_paipai_mask?_(houshou_marine),4593,1098,0.59,1.0,False,
116,male_rover_(wuthering_waves),wuthering_waves|genshin_impact|comiket_107|blade_runner_(series)|blade_runner_2049,3914,1451,0.58953,1.0,False,
117,anyoji_hime,link!_like!_love_live!|love_live!|hasunosora_fantasy|love_live!_hasu_no_sora_jogakuin_school_idol_club_bloom_garden_party|bang_dream!,4828,957,0.589261,1.0,False,
118,female_rover_(wuthering_waves),wuthering_waves|honkai:_star_rail|honkai_(series)|genshin_impact|mihoyo,3974,1360,0.587928,1.0,False,
119,nikki_(nikki),nikki_(series)|infinity_nikki|shining_nikki|miracle_nikki|nikki_up2u2:_world_traveller,3963,1357,0.587658,1.0,False,
120,basil_(faraway)_(omori),omori|emori_(shrimperini)|neon_genesis_evangelion|soul_eater|loveit?_(biz),4026,1308,0.587297,1.0,False,
121,toki_(blue_archive),blue_archive|gintama|honkai:_star_rail|honkai_(series)|devil_may_cry_(series),4569,1008,0.587072,1.0,False,
122,otomune_kozue,link!_like!_love_live!|love_live!|love_live!_hasu_no_sora_jogakuin_school_idol_club_bloom_garden_party|pokemon|comiket_103,5457,579,0.58653,1.0,False,
123,kaname_madoka,mahou_shoujo_madoka_magica|mahou_shoujo_madoka_magica_(anime)|mahou_shoujo_madoka_magica:_hangyaku_no_monogatari|mahou_shoujo_madoka_magica_magia_exedra|mahou_shoujo_madoka_magica:_walpurgis_no_kaiten,4659,941,0.586442,1.0,False,
124,amiya_(arknights),arknights|ambience_synesthesia|arknights:_endfield|white_rabbit_candy|project_moon,4169,1166,0.585536,1.0,False,
125,mori_calliope,hololive|hololive_english|hololive_indonesia|hololive_dev_is|tasty_(takanashi_kiara),4362,1042,0.584977,1.0,False,
126,ninomae_ina'nis,hololive|hololive_english|tako_takover_(ninomae_ina'nis)|sousou_no_frieren|hololive_indonesia,3982,1213,0.583845,1.0,False,
127,tendou_akane,ranma_1/2|inuyasha|urusei_yatsura|mao_(takahashi_rumiko)|kyoukai_no_rinne,2674,2123,0.583576,1.0,False,
128,aubrey_(omori),omori|emori_(shrimperini)|original|pokemon|mario_(series),3921,1219,0.582995,1.0,False,
129,chisa_(wuthering_waves),wuthering_waves|samsung|blue_archive|comiket_107|kill_la_kill,2617,2142,0.582694,1.0,False,
130,adachi_rei,utau|a.i._voice|vocaloid|synthesizer_v|netsu_ijou_(utau),4715,768,0.582272,1.0,False,
131,oguri_cap_(umamusume),umamusume|umamusume:_cinderella_gray|cygames|real_life|pokemon,3354,1504,0.580826,1.0,False,
132,kachimachi_kosuzu,link!_like!_love_live!|love_live!|bang_dream!|bang_dream!_it's_mygo!!!!!|hasunosora_fantasy,4370,890,0.580739,1.0,False,
133,kita_ikuyo,bocchi_the_rock!|pokemon|cardcaptor_sakura|arknights|mahou_shoujo_madoka_magica,4396,855,0.580128,1.0,False,
134,zani_(wuthering_waves),wuthering_waves|pizza-la|zenless_zone_zero|umamusume|genshin_impact,4494,788,0.579667,1.0,False,
135,nozomi_(blue_archive),blue_archive|original|comiket_107|comiket_106|gintama,4114,925,0.577746,1.0,False,
136,reisen_udongein_inaba,touhou|touhou_lostword|imperishable_night|legacy_of_lunatic_kingdom|help_me_erinnnnnn!!,3534,1250,0.577003,1.0,False,
137,denji_(chainsaw_man),chainsaw_man|jujutsu_kaisen|touhou|dragon_ball|dandadan,3385,1338,0.576675,1.0,False,
138,aotsuki_eito,the_hundred_line_-last_defense_academy-|danganronpa_(series)|danganronpa_2:_goodbye_despair|alice's_adventures_in_wonderland|pokemon,3825,1048,0.57645,1.0,False,
139,raora_panthera,hololive|hololive_english|mage_arena|hololive_indonesia|monster_hunter_(series),4018,923,0.576125,1.0,False,
140,fujimaru_ritsuka_(female),fate_(series)|fate/grand_order|original|fate/strange_fake|learning_with_manga!_fgo,3790,1053,0.575985,1.0,False,
141,sumino_takumi,the_hundred_line_-last_defense_academy-|pokemon|danganronpa_(series)|danganronpa_2:_goodbye_despair|alice's_adventures_in_wonderland,3791,1042,0.575687,1.0,False,
142,makima_(chainsaw_man),chainsaw_man|jujutsu_kaisen|neon_genesis_evangelion|invincible_(series)|original,3635,1125,0.575285,1.0,False,
143,sakura_miko,hololive|hololive_english|hololive_dev_is|hololive_indonesia|pokemon,4334,705,0.574886,1.0,False,
144,hikari_(blue_archive),blue_archive|original|comiket_106|comiket_107|umamusume,4068,845,0.574707,1.0,False,
145,fujiwara_no_mokou,touhou|touhou_hero_of_ice_fairy|imperishable_night|original|help_me_erinnnnnn!!,3409,1236,0.574217,1.0,False,
